3-2 [1,2]
4-2 [1,3]
5-2 [1,4]
5-2 [2,3]
6-2 [1,5]
6-2 [2,4]
6-3 [1,2,3]
7-2 [1,6]
7-2 [2,5]
7-2 [3,4]
7-3 [1,2,4]
8-2 [1,7]
8-2 [2,6]
8-2 [3,5]
8-3 [1,2,5]
8-3 [1,3,4]
9-2 [1,8]
9-2 [2,7]
9-2 [3,6]
9-2 [4,5]
9-3 [1,2,6]
9-3 [1,3,5]
9-3 [2,3,4]
10-2 [1,9]
10-2 [2,8]
10-2 [3,7]
10-2 [4,6]
10-3 [1,2,7]
10-3 [1,3,6]
10-3 [1,4,5]
10-3 [2,3,5]
10-4 [1,2,3,4]
11-2 [2,9]
11-2 [3,8]
11-2 [4,7]
11-2 [5,6]
11-3 [1,2,8]
11-3 [1,3,7]
11-3 [1,4,6]
11-3 [2,3,6]
11-3 [2,4,5]
11-4 [1,2,3,5]
12-2 [3,9]
12-2 [4,8]
12-2 [5,7]
12-3 [1,2,9]
12-3 [1,3,8]
12-3 [1,4,7]
12-3 [1,5,6]
12-3 [2,3,7]
12-3 [2,4,6]
12-3 [3,4,5]
12-4 [1,2,3,6]
12-4 [1,2,4,5]
13-2 [4,9]
13-2 [5,8]
13-2 [6,7]
13-3 [1,3,9]
13-3 [1,4,8]
13-3 [1,5,7]
13-3 [2,3,8]
13-3 [2,4,7]
13-3 [2,5,6]
13-3 [3,4,6]
13-4 [1,2,3,7]
13-4 [1,2,4,6]
13-4 [1,3,4,5]
14-2 [5,9]
14-2 [6,8]
14-3 [1,4,9]
14-3 [1,5,8]
14-3 [1,6,7]
14-3 [2,3,9]
14-3 [2,4,8]
14-3 [2,5,7]
14-3 [3,4,7]
14-3 [3,5,6]
14-4 [1,2,3,8]
14-4 [1,2,4,7]
14-4 [1,2,5,6]
14-4 [1,3,4,6]
14-4 [2,3,4,5]
15-2 [6,9]
15-2 [7,8]
15-3 [1,5,9]
15-3 [1,6,8]
15-3 [2,4,9]
15-3 [2,5,8]
15-3 [2,6,7]
15-3 [3,4,8]
15-3 [3,5,7]
15-3 [4,5,6]
15-4 [1,2,3,9]
15-4 [1,2,4,8]
15-4 [1,2,5,7]
15-4 [1,3,4,7]
15-4 [1,3,5,6]
15-4 [2,3,4,6]
15-5 [1,2,3,4,5]
16-2 [7,9]
16-3 [1,6,9]
16-3 [1,7,8]
16-3 [2,5,9]
16-3 [2,6,8]
16-3 [3,4,9]
16-3 [3,5,8]
16-3 [3,6,7]
16-3 [4,5,7]
16-4 [1,2,4,9]
16-4 [1,2,5,8]
16-4 [1,2,6,7]
16-4 [1,3,4,8]
16-4 [1,3,5,7]
16-4 [1,4,5,6]
16-4 [2,3,4,7]
16-4 [2,3,5,6]
16-5 [1,2,3,4,6]
17-2 [8,9]
17-3 [1,7,9]
17-3 [2,6,9]
17-3 [2,7,8]
17-3 [3,5,9]
17-3 [3,6,8]
17-3 [4,5,8]
17-3 [4,6,7]
17-4 [1,2,5,9]
17-4 [1,2,6,8]
17-4 [1,3,4,9]
17-4 [1,3,5,8]
17-4 [1,3,6,7]
17-4 [1,4,5,7]
17-4 [2,3,4,8]
17-4 [2,3,5,7]
17-4 [2,4,5,6]
